station_name|primary_station_id|report_id|observation_id|longitude|latitude|height_of_station_above_sea_level|report_timestamp|report_meaning_of_time_stamp|report_duration|observed_variable|units|observation_value|quality_flag|source_id|data_policy_licence|platform_type|report_type|value_significance
null|MASKSTID|ICOADS-302-RJEUEE|ICOADS-302-RJEUEE-SST|-143.6|50.6|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|286.15|0|2|0|2|0|2
null|SHIP|ICOADS-302-RJEUEG|ICOADS-302-RJEUEG-SST|-61.2|50.1|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|277.05|0|2|0|2|0|2
null|6200107|ICOADS-302-RJEUEH|ICOADS-302-RJEUEH-SST|-6.1|50.1|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|286.25|0|2|0|33|0|2
null|6200107|ICOADS-302-RJEUEI|ICOADS-302-RJEUEI-SST|-6.1|50.1|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|286.25|2|2|0|33|0|2
VOLENDAM|PCHM|ICOADS-302-RJEUEK|ICOADS-302-RJEUEK-SST|-0.1|50.0|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|288.15|0|2|0|2|0|2
FRANKFURT EXPRESS|DGZS2|ICOADS-302-RJEUEL|ICOADS-302-RJEUEL-SST|-136.8|49.9|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|286.15|0|2|0|2|0|2
null|SHIP|ICOADS-302-RJEUEO|ICOADS-302-RJEUEO-SST|-14.6|49.9|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|287.85|0|2|0|2|0|2
null|SHIP|ICOADS-302-RJEUEP|ICOADS-302-RJEUEP-SST|-14.6|49.9|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|287.85|2|2|0|2|0|2
HORIZON ANCHORAGE|KGTX|ICOADS-302-RJEUEU|ICOADS-302-RJEUEU-SST|-127.2|49.5|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|285.25|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUEV|ICOADS-302-RJEUEV-SST|-127.2|49.5|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|285.25|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUEW|ICOADS-302-RJEUEW-SST|-0.9|49.5|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|289.95|0|2|0|2|0|2
